college_code,branch_code,intake_capacity,fees_per_year,duration_years
02533,0253384410,120,,
01121,0112161210,60,,
05109,0510991610,120,,
03042,0304299510,60,,
06625,0662519110,23,,
04142,0414224210,180,,
01107,0110799510,180,,
02250,0225061210,90,,
05168,0516861210,60,,
02666,0266624210,120,,
06780,0678029310,60,,
01120,0112029310,60,,
06005,0600537210,60,,
06250,0625024210,360,,
03445,0344592010,30,,
04181,0418161210,60,,
01117,0111799510,60,,
04004,0400437210,60,,
04144,0414461210,60,,
06756,0675637210,60,,
03219,0321937210,30,,
04147,0414724210,180,,
06145,0614524510,120,,
03217,0321737210,60,,
06178,0617861210,330,,
03176,0317690010,60,,
02508,0250891110,60,,
06325,0632519110,30,,
06796,0679619110,60,,
02252,0225229710,30,,
06250,0625061210,120,,
06219,0621961210,54,,
04147,0414799510,90,,
06278,0627824510,120,,
03210,0321024610,180,,
06283,0628326610,60,,
02127,0212737210,60,,
06757,0675737210,120,,
05223,0522337210,60,,
03033,0303337210,51,,
05139,0513919110,60,,
04123,0412319110,120,,
05382,0538221910,60,,
16121,1612124510,120,,
02112,0211292910,30,,
05179,0517984410,60,,
06222,0622289010,60,,
02282,0228224610,30,,
03175,0317524610,120,,
06732,0673224510,180,,
06622,0662261210,60,,
03184,0318461210,60,,
05181,0518129310,120,,
06298,0629899510,360,,
01002,0100229310,60,,
02254,0225424610,60,,
04134,0413424610,60,,
03477,0347761210,60,,
16351,1635119110,60,,
03188,0318862410,60,,
05164,0516429310,60,,
03204,0320437210,120,,
01127,0112799510,60,,
01012,0101237210,60,,
06811,0681119110,60,,
06275,0627529310,60,,
05330,0533037210,60,,
06005,0600524610,60,,
06311,0631124510,180,,
05104,0510424510,180,,
04123,0412361210,120,,
06005,0600561210,60,,
05130,0513019110,60,,
02008,0200824610,60,,
05396,0539629310,30,,
16355,1635592110,60,,
04188,0418819110,60,,
02127,0212761210,60,,
05124,0512461210,60,,
03182,0318250710,60,,
04144,0414424210,120,,
06182,0618219110,120,,
06315,0631584410,30,,
01101,0110161210,60,,
06803,0680319110,60,,
03223,0322392610,60,,
03471,0347124510,180,,
02777,0277761210,60,,
06769,0676924610,60,,
06991,0699199510,120,,
06214,0621421910,60,,
05381,0538119110,60,,
05161,0516137810,60,,
16006,1600624210,300,,
02189,0218919110,60,,
05509,0550924610,60,,
06609,0660937210,60,,
06402,0640291110,60,,
03182,0318237210,60,,
03202,0320224510,60,,
03467,0346737210,60,,
02771,0277199510,60,,
02777,0277737210,60,,
02770,0277061210,60,,
06901,0690184410,60,,
04147,0414724610,60,,
05381,0538161210,60,,
01128,0112824610,120,,
01268,0126899510,30,,
03209,0320924610,60,,
06144,0614492110,60,,
04145,0414524210,180,,
06145,0614529310,60,,
03503,0350326310,60,,
04302,0430224510,54,,
05130,0513024510,60,,
05411,0541137210,30,,
06283,0628392010,60,,
02135,0213524210,180,,
06797,0679725910,60,,
03183,0318337210,60,,
03199,0319926310,60,,
03175,0317561210,60,,
03467,0346724510,60,,
05382,0538261210,60,,
01116,0111650710,60,,
05239,0523929310,30,,
06214,0621429310,60,,
04116,0411691710,60,,
04613,0461391210,60,,
06310,0631084410,120,,
01180,0118061210,60,,
05597,0559724610,60,,
04138,0413861210,30,,
06319,0631919110,60,,
03211,0321137210,60,,
05151,0515137210,60,,
03194,0319499510,120,,
05401,0540184410,60,,
02020,0202024210,120,,
06207,0620737210,180,,
06277,0627719110,60,,
05399,0539924510,60,,
06324,0632437210,60,,
04613,0461324510,90,,
06122,0612224510,180,,
02508,0250890710,60,,
04116,0411619110,60,,
16121,1612161210,60,,
05370,0537099510,60,,
06220,0622084410,60,,
05249,0524929310,54,,
03154,0315491110,120,,
03439,0343990010,60,,
03185,0318524510,180,,
01002,0100224210,60,,
04188,0418829310,60,,
04142,0414237210,60,,
06273,0627391310,360,,
04143,0414337210,54,,
06609,0660919110,30,,
02113,0211361210,120,,
05103,0510384410,120,,
06628,0662829310,60,,
06808,0680861210,60,,
06298,0629824510,360,,
01117,0111761210,60,,
06794,0679461210,60,,
05399,0539929310,60,,
06878,0687819110,30,,
05104,0510419110,60,,
04167,0416725710,60,,
06545,0654524210,120,,
06762,0676261210,90,,
03546,0354629310,60,,
06265,0626519110,60,,
06320,0632092810,60,,
04181,0418137210,60,,
06145,0614524610,120,,
06632,0663224510,240,,
05152,0515261210,60,,
06004,0600460210,60,,
06183,0618324510,54,,
05152,0515237210,60,,
02533,0253392810,60,,
05172,0517292110,60,,
06184,0618429310,60,,
05545,0554524210,180,,
04679,0467929310,60,,
06767,0676719110,30,,
06298,0629827110,60,,
03223,0322390010,60,,
03224,0322424510,60,,
06155,0615519110,60,,
03014,0301461210,60,,
03724,0372424610,120,,
06175,0617591110,120,,
04133,0413329310,60,,
06640,0664024210,60,,
06267,0626708210,60,,
03184,0318490010,60,,
06808,0680837210,54,,
06272,0627299510,180,,
03189,0318924610,60,,
05331,0533119110,60,,
02015,0201599510,60,,
05433,0543324610,60,,
06182,0618261210,90,,
06758,0675899510,60,,
06278,0627837810,60,,
03212,0321219110,30,,
03204,0320424610,120,,
06028,0602819110,60,,
06206,0620699510,60,,
06177,0617708210,60,,
01002,0100237210,60,,
03471,0347162410,30,,
02133,0213361210,30,,
06326,0632661210,60,,
02146,0214619110,30,,
06187,0618724510,180,,
06223,0622324210,180,,
06769,0676961210,150,,
06803,0680391110,30,,
05108,0510837210,120,,
06632,0663229310,60,,
04174,0417499710,60,,
03440,0344019110,90,,
02136,0213619110,180,,
06206,0620624610,60,,
04163,0416361210,60,,
02189,0218992510,60,,
05139,0513937210,60,,
03198,0319824510,60,,
06141,0614119110,60,,
05330,0533024610,120,,
01265,0126519110,60,,
06274,0627424610,120,,
06715,0671529310,30,,
03187,0318791810,60,,
03462,0346219110,30,,
05382,0538219110,60,,
06635,0663561210,60,,
03726,0372624510,60,,
06273,0627392010,180,,
06803,0680324210,60,,
03139,0313924510,180,,
02131,0213119110,30,,
05003,0500352310,15,,
05103,0510337210,120,,
06545,0654529310,30,,
06839,0683924210,180,,
06214,0621491110,120,,
02113,0211301110,30,,
04197,0419737010,30,,
06156,0615661210,120,,
05401,0540119110,23,,
05109,0510929310,90,,
06796,0679624510,120,,
06222,0622291110,120,,
06303,0630319110,60,,
03436,0343629310,30,,
06771,0677161210,60,,
03470,0347024210,60,,
01128,0112829310,60,,
03135,0313537210,120,,
05184,0518424510,27,,
05418,0541861210,60,,
06139,0613929310,120,,
06007,0600719110,60,,
01130,0113024210,60,,
05106,0510661210,30,,
03176,0317691010,180,,
06274,0627429310,60,,
02254,0225429310,60,,
03215,0321537210,120,,
16355,1635524610,60,,
02127,0212791610,60,,
01276,0127629310,60,,
05170,0517061210,30,,
02771,0277124210,60,,
01180,0118029310,60,,
03187,0318724510,180,,
06273,0627392710,180,,
06313,0631337210,60,,
06298,0629861210,180,,
02112,0211284410,60,,
01105,0110526710,60,,
04137,0413791210,120,,
06222,0622237210,120,,
06643,0664337210,60,,
05160,0516024510,120,,
01125,0112524210,60,,
06780,0678091210,60,,
06149,0614929310,60,,
03201,0320161210,60,,
06628,0662884410,60,,
05370,0537029310,60,,
06622,0662237210,30,,
01127,0112724510,120,,
03183,0318361210,30,,
06275,0627592110,60,,
16361,1636137210,60,,
04302,0430219110,30,,
04174,0417426010,60,,
06139,0613999510,120,,
06272,0627221910,60,,
05256,0525624510,60,,
02113,0211329310,120,,
06468,0646829310,60,,
01120,0112037210,30,,
04135,0413524210,150,,
